Unnamed: 0,French,English
0,histoire,history
1,chercher,search
3,pensais,thought
4,aide,help
5,demande,request
6,genre,kind
8,laisser,let
10,mettre,to put
11,aucun,no
12,laisse,leash
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,corps,body
39,endroit,place
40,yeux,eyes
41,façon,way
42,écoute,listen
43,dont,whose
44,trouve,find
45,premier,first
46,perdu,lost
47,main,hand
48,première,first
49,côté,side
50,pouvoir,power
51,vieux,old
54,tellement,so much
55,point,point
57,suite,after
58,pardon,sorry
59,venez,come
60,devant,in front of
61,vers,towards
62,minutes,minutes
63,demandé,request
64,chambre,bedroom
65,mis,placed
66,belle,beautiful
67,droit,law
69,aujourd'hui,today
70,mari,husband
71,cause,cause
73,espère,hope
74,eau,water
75,parti,left
76,nouvelle,new
77,arrêter,Stop
78,dirait,would say
79,terre,Earth
80,compte,account
81,donne,given
82,fin,end
83,croire,believe
84,chérie,sweetheart
85,gros,large
86,aura,will have
87,filles,girls
89,bureau,office
